Ime,Kategorija,Težavnost,Čas (min),Hranilna vrednost (kcal/100g),Koraki,Sestavine,Opis,Dolžina opisa (besede),Dolžina opisa (črke) 
Potratna potica s čokolado,Sladice,3,195,347,12,37,"Poleg klasičnih potic, kot so orehova, skutina in pehtranova, se za praznike zelo radi sladkamo tudi s potratno potico. Slednja je prava paša za oči, saj vsebuje različne nadeve in tudi dve vrsti biskvitnega testa. Tokrat vam predstavljamo recept za potratno potico, ki ima poleg skutinega in orehovega tudi čokoladni nadev, spečena pa je v tortnem modelu. Po želji jo lahko spečete tudi v pravokotnem modelu.",66,344
Skutini njoki s šparglji,Na hitro,1,35,145,6,13,"Hitro pripravljeni skutini njoki oziroma njoki za lenobe, v družbi špargljev, mlade čebulice in pancete. Pomladni recept, ki se ga vsekakor splača preizkusiti.",23,137
Pecivo s pudingom in jagodami,Sladice,1,75,220,8,15,"Preprosto pecivo s pudingom in jagodami bo prijetno popestrilo marsikatero domačo zabavo, odlično pa se prileže tudi kot posladek, ki si ga privoščimo s skodelico kave.",26,143
Polpeti iz govedine iz juhe,Kosilo,1,30,128,4,9,"Če vam je od nedeljskega kosila ostal kos kuhane govedine, ga lahko porabite za pripravo okusnih polpet. Priprava je hitra in enostavna, za popoln obrok pa zraven postrezite samo še skledo solate.",32,165
Enolončnica s proseno kašo,Juhe in jedi na žlico,1,55,135,8,13,"Enolončnica z zelenjavo, govedino in proseno kašo vas bo zagotovo navdušila, če ste ljubitelj jedi na žlico. Je tudi super način, da na jedilnik umestite zdravo proseno kašo, ki blagodejno vpliva na prebavo in odvajanje vode iz telesa, poleg tega pa tudi ne vsebuje glutena.",45,230
Jogurtova torta z borovnicami (brez peke),Sladice,1,45,237,9,13,"Odlična sladica, ki navduši z videzom in okusom.",8,41
Bananini mafini z orehi,Sladice,1,35,306,6,10,"Okusni kolački, ki bodo zadovoljili vašo potrebo po sladkem, hkrati pa predstavljajo tudi odličen način, da porabite (pre)zrele banane. Pripravite jih za praznovanje ali zabavo, z veseljem pa jih bodo pojedli tudi otroci. Namesto orehov lahko uporabite tudi lešnike ali mandlje.",41,238
Zelenjavna enolončnica z naanom,MasterChef,1,40,171,7,23,"Brezmesna jed, ki jo je Bine Volčič z navdušenjem opisal kot 'konkretna in polnega okusa', njegovemu mnenju pa se je pridružil tudi Karim Merdjadi, je Brini Robinik Kobal prinesla uvrstitev na balkon.",32,169
Vanilijeva torta z jagodami,Torta,1,70,299,8,13,"Odlična torta z bogato vanilijevo kremo, puhastim biskvitom in koščki svežih jagod.",12,72
Vlivanci s kremno špargljevo omako,Pomlad,1,35,177,9,12,"Sezona špargljev se začne s prvim pomladnim soncem in pravi greh je izpustiti priložnost skuhati nekaj dobrega iz tega čudovitega zaklada narave. Če šparglje ne naberemo sami, jih lahko kupimo tudi na zelenjavni tržnici. Šparglji imajo značilen, rahlo grenek okus, predvsem pa imajo neverjetno veliko zdravilnih in čistilnih lastnosti za naše telo. Tukaj je recept za preproste testenine z bogato, kremno špargljevo omako, ki vas bo očarala tako z barvo kot tudi z okusom.",74,399
Dušen regrat z jajci,Pomlad,1,20,135,4,5,"Regrat lahko pripravite tudi na druge načine, ne samo v solati. Preizkusite recept za hiter in okusen pomladni obrok, ki je obenem poln zdravja.",24,121
Pomladno pecivo z jagodami,Sladice,1,45,202,7,12,"Vsi komaj čakamo pomlad in prijetne sončne dni. Zraven popoldanske kavice se prileže preprosto jagodno pecivo, ki bo prineslo pomladno vzdušje v vašo kuhinjo in narisalo nasmeh na obrazih vaših najmlajših.",31,175
Cvetačni njoki z lososom,MasterChef,1,39,129,9,12,Odlična kombinacija rahlih cvetačnjih njokov in sočnega lososovega fileja je Sabino Jeršin v prvi oddaji devete sezone MasterChef Slovenija popeljala na balkon.,22,139
Domače testenine s škampi in sipino čipko,MasterChef,1,38,206,9,18,"Odlična morska jed, ki je Barbaro Nonis v prvi oddaji devete sezone MasterChef Slovenija popeljala na balkon.",17,93
Kruhov narastek s šunko in sirom,Zajtrk,1,65,225,5,8,"Če ste navajeni, da si kruhov narastek navadno privoščite v obliki sladice, vam vsekakor priporočamo, da poskusite tudi slano različico, v kateri kruh zmešamo s šunko in sirom, nato pa vse skupaj prelijemo z jajci in spečemo v pečici. Na koncu dobimo zelo okusen in tudi nasiten narastek, ki je primeren za zajtrk, kosilo ali večerjo. Hkrati je to tudi odličen način, da porabite star kruh.",66,325
Testenine z brokolijevim pestom,Zdravo in vegi,1,22,282,4,7,"Če ste mislili, da lahko priljubljeno zeleno omako za testenine pripravite zgolj iz bazilike, pinjol in olivnega olja, se pošteno motite! Za spremebo uporabite brokoli in mandlje. Rezultat je kremasta zelena omaka, ki bo zagotovo popestrila sive zimske dni.",39,219
Preprosta jagodna sladica v kozarcu,Sladice,1,20,166,5,12,"Brez kuhanja, peke in nepotrebnega kompliciranja! Čudovita jagodna sladica v kozarcu je pripravljena kot bi mignil, pred postrežbo pa jo morate samo še dobro ohladiti.",25,143
Špinačni žličniki z zdrobom,Brez mesa,1,45,195,8,10,"Priprava zdrobovih žličnikov s špinačo in parmezanom je hitra in zelo enostavna. Lahko si jih pripravite za kosilo ali večerjo, odlični pa so tudi kot priloga mesu in ribam. V primeru, da jih boste postregli kot samostojen obrok, zraven postrezite še skledo solate.",43,223
Sočno zdrobovo pecivo z rozinami,Sladice,1,65,206,6,11,"To je izjemno dobra sladica, ki vedno uspe. Je zelo rahla, sočna in okusna, za pripravo pa tako preprosta, da se je lahko lotijo tudi vsi tisti, ki v kuhinji niso kaj pretirano spretni. Če pecivo pripravljamo za posebno priložnost, lahko dodamo tudi ščepec izbranih začimb, za prijetno popestritev pa poskrbi tudi dodatek kandiranega sadja.",55,286
Palačinke iz pečice z borovnicami,Sladice,1,33,221,5,10,"Simpatične palačinke, ki jih pripravimo kar v pekaču za mafine. Navdušile vas bodo z okusom in tudi enostavno pripravo.",19,101
Pirina solata s tuno in zelenjavo,Zdravo in vegi,1,40,133,3,8,"Pira se na naših krožnikih navadno ne znajde prav pogosto, kar je v resnici velika škoda. Gre za prastaro zvrst pšenice, ki ima veliko pozitivnih učinkov na telo. Predvsem je bogata z beljakovinami in vlakninami, priporočljiva pa je tudi za tiste, ki so alergični na gluten v pšenici.",48,237
Čokoladni mousse s pomarančo,Sladice,1,20,295,6,7,"Čeprav se zdi, da je mousse za pripravo zelo zahtevna sladica, pa temu v resnici ni tako. Nekaj pozornosti boste morali nameniti le stepanju jajc, ki se bodo z dodatkom čokolade, pomarančnega soka in naribane lupinice, spremenila v rahlo ter božansko dobro čokoladno sladico, primerno tudi za bolj slovesne priložnosti. Ko mousse postrežete, mu dodajte kupček stepene smetane, odličen dodatek pa je tudi nastrgana čokolada, ki jo potrosite po pripravljeni kremi.",71,392
Lignji s krompirjem v pečici,Kosilo,1,50,79,4,8,"Če se pogosto ubadate z vprašanjem, kaj skuhati za kosilo, hkrati pa bi radi na jedilnik umestili tudi kakšno novo jed, bo ta recept ravno pravšnji za vas. Še zlasti, če imate radi lignje in v pečici pripravljene jedi. Za popoln obrok zraven postrezite tržaško omako in skledo poljubne sezonske solate. Pa seveda ne pozabite na dober kruh, ki ga boste z veseljem pomakali v omako, ki se je naredila v pekaču.",72,337
Pečen sladki krompir z zeliščnim maslom,Zelenjava,1,75,551,6,6,"Ker sladki krompir pred peko narežemo na tanke rezine, ki se na eni strani še držijo skupaj, se med peko odpre kot pahljača, zato je jed na koncu videti naravnost čudovito. Za okus in dodaten 'wow efekt' poskrbi zeliščno maslo, ki med peko steče med posamezne rezine in jih tudi okusno začini.",52,242
Pečen brokoli s česnom in limono,Zdravo in vegi,1,35,66,3,7,"Verjetno še nikoli niste pomislili, da bi brokoli pekli v pečici. A vendar se ta način priprave odlično obnese, hkrati pa je tudi odlična izbira, ko se nam ne ljubi kuhati in si želimo, da bi delo namesto nas opravil nekdo drug. Tokrat bo za to poskrbela kar pečica.",49,218
Zeljna juha s kranjsko klobaso,Slovenska,1,40,125,3,14,"Ko se v eni jedi združita kislo zelje in kranjska klobasa, rezultat pač ne more biti slab. Kislo zelje vsebuje veliko zdravilnih učinkovin, bogato pa je tudi z vlakninami, ki spodbujajo samozdravljenje organizma.Kranjska klobasa jedi doda pristini domači okus in poskrbi, da juho z užitkom pojedo tudi vsi tisti, ki se ji navadno izognejo v velikem loku.",57,298
Torta z mandarinami in kislo smetano,Sladice,2,120,273,6,12,"Sočna zimska poslastica, ki jo lahko mirno postrežete tudi ob bolj slovesnih priložnostih.",13,78
Ovsene posodice z grškim jogurtom in sadjem,Zdravo in vegi,1,27,195,5,10,"Iz kosmičev narejene ovsene posodice, nadevane z grškim jogurtom in svežim sadjem, so okusen in zdrav posladek, ki si ga lahko privoščite že za zajtrk. Namesto jogurta lahko uporabite tudi čokoladni ali lešnikov namaz, posodice pa lahko napolnete tudi s čija marmelado.",42,228
Kremni piščančji curry z indijskimi oreščki,Azijska,1,40,195,5,12,"Piščančji curry (kari) vas bo s svojim bogatim okusom vedno znova navdušil, hkrati pa vas bo zaradi dodatka čilija tudi prijetno pogrel. Postrezite ga s kuhanim rižem ali preprostimi nekvašenimi kruhki, v omako pa lahko poleg paprike dodate tudi kakšno drugo zelenjavo (brokoli, špinača, ohrovt ipd.).",46,256
Losos v kremni česnovi omaki s špinačo in paradižniki,Kosilo,1,30,180,7,10,"Losos po toskansko je izvrstna jed, ki se bo zagotovo večkrat znašla na vašem jedilniku. Še zlasti, če imate radi ribje jedi, česen in kremne smetanove omake. Razveseljiva novica je tudi ta, da za pripravo potrebujete zgolj eno večjo ponev, jed pa si lahko privoščite s številnimi prilogami; od polente, pire krompirja in njokov, pa vse do ajdove kaše, kuskusa in kvinoje.",62,311
Torta rdeči žamet malo drugače,Sladice,1,40,285,7,16,"Različica torte rdeči žamet z bogato in slastno sredico iz kremnega sira in smetane. Z njo lahko za valentinovo presenetite svoje najdražje, primerna pa je tudi za kakšne druge priložnosti, saj se je bodo razveselili tudi najmlajši.",37,196
Jagodni tiramisu v kozarcu,Valentinovo,1,30,252,6,10,"Kaj ko bi svojo boljšo polovico na dan zaljubljencev presenetil/-a s to krasno sladico, ki jo vsi imajo radi in je tako enostavna za pripravo, pa še peči je ni treba? Predstavljam vam nekoliko obogateno različico jagodnega tiramisuja brez alkohola in kave, ki bo popolna sladica za popestritev dneva zaljubljencev.",50,265
Pica kruhki,Priložnostno,2,145,408,8,9,"Slastni pica kruhki, ki bodo šli za med. Testo je malce drugačno od navadnega testa za pico, saj je zaradi dodatka mleka in masla bolj polnega okusa. Slednje je še posebej dobrodošlo, saj ne smemo pretiravati z nadevom.",38,182
Mousse iz bele čokolade,Sladice,1,20,502,8,4,"Rahla krema, ki jo lahko uporabimo kot nadev za torto, rolade, kolačke in drobno pecivo, odlično pa se obnese tudi pri pripravi sladic v kozarcu. Priprava je hitra in enostavna, saj moramo zgolj stopiti belo čokolado in jo vmešati v stepeno smetano. Da bo krema bolj stabilna, poskrbi dodatek želatine, da bo imela prijetno aromo in okus, pa ji dodamo malo vanilijeve paste.",63,312
Čokoladni drip (za dekoriranje tort),Sladice,2,5,602,3,2,"'Dripping cake' je trend na področju dekoriranja tort. S pomočjo ravno prav tekoče čokolade namreč dosežemo videz, kot da čokolada teče oziroma kaplja po torti. Priprava čokoladnega dripa ni zapletena, je pa treba paziti, da je torta pred nanašanjem dobro ohlajena, preliv pa mora biti tudi ravno prav topel, da se med nanašanjem na torto sproti trdi. Postopek dekoriranja torte s čokoladnim dripom si lahko ogledate v spodnjem videu.",69,366
Zdrobovi cmoki,Testenine in žita,1,55,178,3,5,"Če ste se naveličali kruhovih, potem vsekakor pokusite zdrobove cmoke. Ponudimo jih h golažu, obaram in zrezkom v različnih omakah.",20,112
Mesne kroglice v kremni paradižnikovi omaki,Kosilo,1,45,222,7,13,"Ena tistih jedi, ki jih z veseljem pojedo tudi otroci. S samo pripravo tudi ne boste imeli veliko dela, zato so mesne kroglice v kremni paradižnikovi omaki odlična izbira za okusno družinsko kosilo ali večerjo med tednom. Jed lahko skuhate tudi vnaprej ali pa jo zamrznete.",46,228
Toskanska fižolova juha,Italijanska,1,55,75,5,14,"Odlična italijanska jed na žlico je še zlasti primerna za mrzle zimske dni, saj topla juha premraženo telo pogreje od znotraj. Ker ne vsebuje mesa, pa je jed primerna tudi za vegetarijance.",32,158
Skutina pita po babičino,Sladice,1,75,291,7,15,"Med dve plasti krhkega testa ujet sočen skutin nadev. To je preprosta domača sladica, ki so jo rade pripravljale že naše babice, pecivo pa se izvrstno prileže s skodelico toplega napitka.",31,157
Palačinka iz pečice s pestom in pršutom,Na hitro,1,35,250,4,9,"Naj bo zajtrk, brunch, kosilo ali večerja, velika slana palačinka iz pečice, obložena s kupčki pesta in rezinami pršuta vam bo šla vedno v slast. Priprava je hitra in preprosta, v primeru glavnega obroka pa zraven postrezite še skledo solate.",40,203
Magično limonino pecivo,Sladice,1,70,342,5,9,"Sočno pecivo z nežnim, osvežilnim limoninim okusom. Magično zato, ker se iz ene mase med peko oblikujejo tri plasti treh različnih tekstur. Spodaj je kremni del, v sredini biskvit, oboje pa zaokroži rahlo hrustljava skorjica.",35,191
Zimska juha s piščancem,Zdravo in vegi,1,65,110,3,8,"Preprosta, zdrava in okusna piščančja juha z zelenjavo bo prijetno ogrela premraženo telo.",13,78
Brownie s kremnim nadevom in višnjami,Sladice,1,70,301,7,17,"Izvrstno pecivo, ki vas bo navdušilo s sočnostjo, bogatim okusom in tudi preprosto pripravo.",14,79
Krompirjeve ladjice,Kosilo,1,60,127,5,9,"Zakaj ne bi krompirjeve gomolje pripravili malce drugače? Simpatične ladjice niso samo paša za oči, so tudi izjemno slastne in lahko se jih lotite samo s skledo solate.",28,141
Veganske bananine palačinke s kosmiči,Brez glutena,1,25,234,7,8,"Sestavine priljubljenega zajtrka, pripravljene v obliki slastnih palačink. Brez moke, belega sladkorja, jajc in mlečnih izdelkov. Pri serviranju jim lahko dodate navaden ali rastlinski jogurt, odlične pa so tudi zgolj prelite z medom ali javorjevim sirupom ter potresene z nasekljanimi oreščki.",41,254
Mehka svinjska vratovina iz pečice,Meso,1,210,172,6,14,"Prava poslastica iz svinjine, ki je ne boste mogli razrezati z nožem, saj bo tako mehka in sočna, da bo kar razpadala. Predpriprava zahteva le nekaj minut, ostalo delo pa prepustite pečici. Kot prilogo ponudite hrustljav brokoli s česnomin cvetačni pire, ki ga seveda lahko zamenjate z bolj klasičnim krompirjevim.",50,265
Ledene kocke,Sladice,1,80,259,12,15,"Odlično pecivo, ki se lepo reže na kose, zato je tudi primerno za praznovanja in zabave. Osnova je preprost čokoladni biskvit, na katerega nanesemo bogato masleno kremo, ki jo prelijemo s čokoladno glazuro.",33,174
Pražena svinjska jetra s čebulo,Kosilo,1,20,143,3,6,"Hitro pripravljena jed iz bogate zakladnice preprostih domačih receptov. Če jeter ne boste pražili dolgo in jih tudi ne boste solili že na začetku, boste z rezultatom več kot navdušeni. Jetra bodo mehka in nadvse okusna, omaka pa tako slastna, da boste krožnike z največjim užitkom pomazali do zadnje kapljice.",50,261
Piščanec z bulgurjem in zelenjavo,Kosilo,1,60,159,7,11,"Bulgur je posušena, zdrobljena pšenica, ki spominja na kuskus. Poskusite ga v kombinaciji s piščančjimi kračami in pisano zelenjavo. To preprosto jed lahko pripravite hitro in v eni ponvi, če je ta primerna za peko v pečici.",37,188
Krostata z rikoto,Sladice,2,165,291,9,15,"Klasična italijanska sladica, ki vam bo 'zlezla pod kožo' takoj, ko jo boste poskusili. Najboljša je s skodelico toplega napitka, brez težav pa jo lahko postrežete tudi s kozarcem sladkega belega vina. Odlična je kot posladek po kosilu, lahko pa jo pripravite tudi za pogostitev obiskov.",46,242
Domač čokoladni puding,Sladice,2,30,421,7,11,"Priprava domačega pudinga je morda nekoliko bolj zahtevna in dolgotrajna v primerjavi s pripravo pudinga iz vrečke. A se kupljen puding nikakor ne more primerjati z domačim. Še zlasti, če uporabimo kakovostno temno čokolado in kakav v prahu, ki mu data izrazit čokoladni okus in močno temno barvo.",48,250
Pečena začinjena cvetača z jogurtovo omako,Zdravo in vegi,1,49,62,5,9,"Z začimbami obogatena pečena cvetača z osvežilno jogurtovo omako je lahko topla predjed, lahka samostojna jed ali priloga mesnim in ribjim jedem. Lahko pa jo postrežete tudi kot prigrizek ob kozarcu vina, saj je dobra tudi hladna.",37,194
